1;Medicine;Acute Transfusion Reaction;A 55 year old man is receiving a blood transfusion and develops rigors and vomiting. How would you manage him?
2;Medicine;AKI;A 78 year old man has been hospitalised for one week following a stroke complicated by pneumonia.  Routine biochemistry shows that his serum creatinine has increased to 280umol/L (60-120) from 110umol/L on admission.  How would you manage him?
3;Medicine;AKI/Urinary Retention;An 82 year old man is admitted to hospital for investigation of falls.  He does not pass urine for the next 24 hours. How would you manage him?
4;Medicine;Altered mental state;A 50 year old woman is hospitalised for IV antibiotics for cellulitis. On the evening of the second day she becomes acutely confused. How would you assess her?
5;Medicine;Altered mental state;An 83 year old woman is admitted following a fall.  She becomes acutely confused the following day and is very disruptive in the ward.  How would you assess and manage her?
6;Medicine;Ascites;A 68 year old woman presents complaining of abdominal distension. On examination she has 10cm of shifting dullness but no organomegaly. How would you assess her?
7;Medicine;Back Pain;A 40 year old man develops acute back pain after heavy lifting three weeks ago.  He now presents with persistent low back pain, sciatica and weakness of ankle dorsiflexion.  He asks about whether he should have spinal manipulation. What would you advise him?
8;Medicine;Chronic Daily Headache;A 36 year old woman has been experiencing almost daily headaches for the past three months.  She is otherwise asymptomatic.  How would you assess and manage her?
9;Medicine;Dementia Counselling;A 73 year old woman, who lives alone, has become increasingly forgetful and vague.  Her son is worried that she is unsafe. How would you manage this situation?
10;Medicine;Diabetes;A 60 year old woman has been found to have a fasting BSL of 14.7mmol/L. She attends the Diabetes Clinic for the first time. How would you assess and manage her?
11;Medicine;Drug Induced Neutropenia;A 42 year old woman presents with fever and painful gums and on examination, she has marked gingivitis.  Two weeks previously she was prescribed cotrimoxazole (suphonamide and trimethoprim) for a UTI.  Full blood count reveals a total WBC of 1.1X109/L with a total neutrophil count of 0.8X109/L. How would you manage her?
12;Medicine;Drug Reaction;A 70 year old woman is admitted with hypertension and cardiac failure.  She is commenced on indapamide.  Her admission is complicated by a urinary tract infection.   She is treated with amoxicillin as she had a previous drug reaction to cotrimoxazole (sulphamethoxazole, trimethoprim).  On the third day of amoxicillin treatment she becomes febrile and develops a generalised maculopapular rash.  How would you assess and manage her?
13;Medicine;End of Life Care;A 78 year old woman has with terminal cancer and is expected to die within a few days and is documented as not for resuscitation. She is semiconcious but seems distressed, tachypnoeic and agitated and is making gurgling noises which are distressing to the family. How would you manage this situation?
14;Medicine;Exacerbation of COPD/COPD related drowsiness;A 60 year old man is admitted to hospital with an acute exacerbation with COPD.  Within hours of his admission, the nursing staff report that he has become drowsy and difficult to rouse. How would you assess and manage him?
15;Medicine;Hepatocellular Carcinoma;A 58 year old man presents with a two month history of right upper quadrant discomfort and weight loss.  His liver function tests are normal but a CT scan of his abdomen shows a solitary mass in the liver.  How would you assess him?
16;Medicine;Hypercholesterolaemia;A 35 year old asymptomatic man presents for a check-up. His total serum cholesterol is 6.6 mmol/L (<4.0 mmol/L).  How would you assess and manage him?
17;Medicine;Hyperthyroidism;A 26 year old female presents with tiredness, palpitations and heat intolerance.  She has a diffusely enlarged thyroid.  How would you assess her?
18;Medicine;Hypokalaemia;A 44 year old woman is receiving chemotherapy for lymphoma. She has been vomiting frequently and her serum potassium is 3.0 mmol/L. How would you manage her?
19;Medicine;Hyponatraemia;An 86 year old woman admitted with pneumonia becomes confused.  Her serum sodium is 119 mmol/L (135-145).  How would you assess and manage her?
20;Medicine;Infective endocarditis;A 74 year old man presents to the hospital because a blood culture taken by his GP 24 hours prior has grown a gram positive coccus, likely Staphylococcus, in 2/2 bottles.  This patient has a mechanical aortic valve and is on warfarin.  He has been unwell for a few days and saw his GP with fever, malaise and rigors.  The GP diagnosed an URTI and prescribed Amoxycillin/clavulanic acid (Augmentin).  How would you assess and manage him?
21;Medicine;Macrocytic Anaemia;An 87 year old man is fatigued and pale.  His FBC shows Hb 78 g/L (>130), MCV 108 (80-100), platelets 168 (>140).  How would you assess and manage him?
22;Medicine;Massive Haematemesis;A 36 year old man is admitted following a haemetemesis.  His condition is stable and he is awaiting endoscopy.  However he has a further bleed and his BP falls to 80/65 mmHg. How would you manage him?
23;Medicine;Methotrexate monitoring;A 38 year old woman has been treated for rheumatoid arthritis for two months with diclofenac.  Her arthritis is poorly controlled and recent X-rays of her hands show erosive changes in the metacarpophalangeal and proximal phalangeal joints.  She is to be commenced on methotrexate.  How would you monitor her therapeutic response and possible drug toxicity?
24;Medicine;Needle Stick Injury;A 25 year old intern is attempting to insert an IV cannula but fails and accidentally sticks himself after withdrawing the cannula.  How would you manage this situation?
25;Medicine;NEW CASE - Hypertension in Pregnancy;A 36 year old female is planning for pregnancy. Her BP in your office is repeatedly high and is 152/94 mmHg today. Her BMI is 27.5. The patient does not want to take medications as she does not feel unwell. How would you manage her?
26;Medicine;NEW CASE - Rhabdomyolysis;A 42 year old male recommenced weight training after a hiatus of 10 years. He presents 48 hours after his first session, which included 2 hours of heavy weightlifting, complaining of severe pain and tenderness in his back, shoulders and biceps muscles. He describes “blood” in his urine for the last 24 hours and his urinalysis shows +++blood and +++protein. His serum Creatinine is 169 mcrmol/L (NR < 120 mcrmol/L). How would you investigate and manage him?
27;Medicine;NEW CASE - Hypercalcemia;A 59 year old female attends a diabetes clinic annually for review. You notice her serum calcium concentration has been above the upper limit of normal for the last 3 years, currently 2.79 mml/L (NR<2.6 mmol/L).  How would you investigate and manage this?
28;Medicine;NEW CASE - Hospital Acquired Respiratory Illness;A 66 year old male presented with an acute coronary syndrome 2 days ago and had coronary stenting performed yesterday without complication. Nursing staff alert you that he developed a cough and myalgia overnight and now has a fever of 38.5 C. You are aware that other patients in the hospital have had similar febrile presentations. How would you manage this situation?
29;Medicine;NEW CASE - Orthostatic hypotension;A 72 year old female presents with recurring dizziness. She has postural hypotension thought to be due to due to autonomic failure and is taking multiple medications for other conditions.  How would approach this situation?
30;Medicine;NEW CASE - Hypocalcaemia;An 82 year old male complains of cramps and tingling in his fingers. He received a subcutaneous injection of denosumab by his GP for osteoporosis 7 days prior. He has stable chronic kidney disease with an eGFR of 58 ml/min and his current biochemical tests show a low plasma corrected calcium of 1.58 mmol/L (NR 2.1-2.6 mmol/L). How would you investigate and manage him?
