1;Medicine;Atrial Fibrillation;A 54 year old man complains of intermittent palpitations. He has no history of cardiac disease or hypertension. The ECG shows atrial fibrillation. How would you manage him?
2;Medicine;Atrial Fibrillation Anticoagulation;A 57 year old woman is diagnosed with intermittent atrial fibrillation on Holter monitoring after she presented complaining of palpitations. How would you assess and manage her risk of stroke complicating AF?
3;Medicine;Consent - Coronary Angiogram;A 67 year old man has been experiencing chest pain on exertion for several weeks and is to have a coronary angiogram. How would you explain the risks and benefits of the procedure and how it will be performed?
4;Medicine;Hypertensive Urgency and Headache;A 48 year old man complains of headaches. Physical exam is unremarkable except for his BP which is 175/100 mmHg. How would you assess and manage him?
5;Medicine;MI Complications;A 59 year old man is admitted following a myocardial infarction requiring coronary stenting. On the 4th day of hospitalisation he becomes acutely dyspnoeic. How would you assess and manage him?
6;Medicine;Unstable Angina and Anaemia;A 66 year old man is in hospital being investigated for anaemia. He has a past history of stable angina and experiences an episode of angina only partly relieved by glyceryl trinitrate. How would you assess and manage him?
7;Medicine;Drug Reaction;A 70 year old woman is admitted with hypertension and cardiac failure. She is commenced on indapamide. Her admission is complicated by a urinary tract infection. She is treated with amoxicillin as she had a previous drug reaction to cotrimoxazole (sulphamethoxazole, trimethoprim). On the third day of amoxicillin treatment she becomes febrile and develops a generalised maculopapular rash. How would you assess and manage her?
8;Medicine;Shingles;A 57-year-old woman gives a one week history of sharp pain over her lateral chest wall. She has now noticed some “spots” on her skin. On examination there are erythematous, vesicular lesions in T7 distribution. How would you assess and manage her?
9;Medicine;Acute Adrenal Insufficiency;A 55 year old woman has been in hospital for two days with acute gastroenteritis. She has a history of polymyalgia rheumatica which has been treated with oral prednisone 10mg daily for several years. Her BP has fallen to 90/70 mmHg. How would you manage her?
10;Medicine;Diabetes;A 60 year old woman has been found to have a fasting BSL of 14.7mmol/L. She attends the Diabetes Clinic for the first time. How would you assess and manage her?
11;Medicine;Diabetic Ulcer;A 60 year old woman with type 2 diabetes mellitus and obesity presents with an ulcer on the sole of her left foot. She reports this has been gradually increasing in size and has been weeping recently. How would you assess her?
12;Medicine;Hyperthyroidism;A 26 year old female presents with tiredness, palpitations and heat intolerance. She has a diffusely enlarged thyroid. How would you assess her?
