1;Emergency;Acute abdomen (bowel obstruction);A 78 year old man is brought to the Emergency Department from a nursing home. He had a past stroke which left him with left-sided weakness and dysphasia. He is now confused, febrile (38.6°C), and has been groaning when his abdomen is palpated. He has mild abdominal distension and obvious but variable abdominal tenderness. How would you assess and manage him?
2;Emergency;Acute coronary syndrome;A 65 year old woman presents to the Emergency Department with central chest pain of one hour’s duration unrelieved by glycerine trinitrate. How would you assess and manage her?
3;Emergency;Altered mental state and shock;A 94-year-old female is brought in confused from her home by a neighbour. There is no immediate medical history. Her BP 80/50. How would you assess and manage her?
4;Emergency;Anaphylaxis;A 32 year old woman is brought in by ambulance having been bitten by a bee 20 minutes previously. She rapidly became short of breath and when the ambulance arrived she suffered a syncopal attack. How would you assess and manage her?
5;Emergency;Asthma;A 20 year old woman with asthma presents to the Emergency Department with severe shortness of breath. How would you assess and manage her?
6;Emergency;Bleeding post tonsillectomy;A 16 year old girl presents with bleeding after a tonsillectomy. She was discharged from a private hospital earlier today. She has no previous medical history. How would you assess and manage her?
7;Emergency;Blunt kidney injury;A 25 year old man presents with macroscopic haematuria and right sided loin to groin pain after a game of rugby. What is your management plan?
8;Emergency;Bowel obstruction;A 60 year old man presents with two days of diffuse abdominal pain, nausea, vomiting and absent bowel motions and passage of flatus. He had lost 5 kg over the past 3 months. He is distressed and his abdomen is diffusely tender and distended. He is normotensive and his pulse rate is 120/min. How would you assess him?
9;Emergency;Burns;A 59 year old man is brought into the Emergency Department with 30% full thickness burns to his body in an outdoor fire. How would you assess and manage him?
10;Emergency;Cellulitis;A 73 year old woman with type 2 diabetes presents with severe perianal and vulval pain. She is febrile, hypotensive and on examination there is extensive cellulitis extending throughout the perineum and her upper thighs. How would you assess and manage her?
11;Emergency;Diabetic ketoacidosis;A 19 year old woman with type 1 diabetes is brought into the Emergency Department in a stuporous condition. Her BSL is 26mmol/L and she has ketonuria. How would you assess her?
12;Emergency;Epistaxis;A 65 year old man presents to the Emergency Department with a severe nosebleed. He has a history of poorly controlled hypertension. How would you manage him?
